Seller Address,Buyer Address,Volume of Trades (USD)
0x48ad09ed9a4d3d9b76959f4d53ba0bc138fce336,0x39175cb35c297dd5a824a451afef571832179f53,109674516.2
0x57544b982e6f9afbefb251cc884d25707a8002f8,0x6b34ff96d47e0558fe22bd80c05fdc0133515d19,104589432.5
0x349adbeb3c0c855b3eb7132f3ed616702e86465c,0x857f876490b63bdc7605165e0df568ae54f72d8e,103107486.3
0x857f876490b63bdc7605165e0df568ae54f72d8e,0x349adbeb3c0c855b3eb7132f3ed616702e86465c,100083304.2
0x723838323693fefc199cfb5c348e7e5dbb1616ec,0xa12c5c80d594e78f7bdef9842aa234b65339bd21,92748405.82
0xa12c5c80d594e78f7bdef9842aa234b65339bd21,0x723838323693fefc199cfb5c348e7e5dbb1616ec,92532199.85
0x022f88f7c61a5d5a4782c35d4bf32c90e0344913,0x82df255134a85cb688bca4b0029c8429187be01a,87881500.53
0x82df255134a85cb688bca4b0029c8429187be01a,0x022f88f7c61a5d5a4782c35d4bf32c90e0344913,85063870.52
0xaddb186047b8fd97d64c808f0b8df6589376f256,0x0abd70eb980a55d9221e186b9b150539166fc679,82343448.21
0x0abd70eb980a55d9221e186b9b150539166fc679,0xaddb186047b8fd97d64c808f0b8df6589376f256,79604789.07
0xc01a7742c40ec01fd2836838eadde46f9d0b0099,0xcd4be0574cf95c4dd863913ea5ab7e5185543217,75285532.34
0xcd4be0574cf95c4dd863913ea5ab7e5185543217,0xc01a7742c40ec01fd2836838eadde46f9d0b0099,74404126.57
0xa99a76dddbb9678bc33f39919bc76d279c680c89,0xd8c6c3d184d434e6420a93848d42cbdbcda2c6f5,73468091.34
0xe6410ecbaa041a5dcde79164ca66de42a8d72bee,0x902e77345b7baf9aba47c4febdb210406995a88d,71965956.17
0x902e77345b7baf9aba47c4febdb210406995a88d,0xe6410ecbaa041a5dcde79164ca66de42a8d72bee,71740839.07
0x1b87c47089c66820b6d07faf599ef872dd932320,0xb0449ec1a8a60f95322617d6ed52e1ba1a7beb49,71651455.18
0x50ea421b54fb7b034449808ba511a68ff4b0d29a,0x7dbb760ecfdcbfe5d425c67019966ba05a3c48ae,71597933.42
0x7dbb760ecfdcbfe5d425c67019966ba05a3c48ae,0x50ea421b54fb7b034449808ba511a68ff4b0d29a,71234052.18
0x8b3383ffb325e3169c26b0d9cd6d0ae8c48f6331,0xfd12d178ac2c1854129aaa2428164687f1d14eca,70245734.35
0xfd12d178ac2c1854129aaa2428164687f1d14eca,0x8b3383ffb325e3169c26b0d9cd6d0ae8c48f6331,68840796.41
0x44e37065db06958e6d84f88d688eeb5661d6fa7d,0xa6e3bd38f3399037fa75088516a3935bbb08ad16,67521477.47
0xb0449ec1a8a60f95322617d6ed52e1ba1a7beb49,0x1b87c47089c66820b6d07faf599ef872dd932320,67154326.73
0xa6e3bd38f3399037fa75088516a3935bbb08ad16,0x44e37065db06958e6d84f88d688eeb5661d6fa7d,66183941.93
0x3bfe8b28de68aba3723b801f5d0f0d10a701293c,0x6e82d57018bc95ef6d8b82bdc42449f77941dc32,58816866.97
