Contract Address,Arbitrage Profit (USD),Arbitrage Volume (USD)
0xfcc9303f8c3a3bc3764c23f03d1a6e5ccca50aab,10669.48368,83183.14232
0x13c10925bf130e4a9631900d89475d2155b5f9c0,10453.93467,76694.27588
0x0e113904cb1d53cabb324927dffae2f8f6705111,10077.04141,15131.9488
0x000000000270308035ea0e02710b2027020846b0,10030.74942,98545.12809
0x07197a25bf7297c2c41dd09a79160d05b6232bcf,9758.224357,47191.20711
0xb34c38d29bb3eca1e1a3dd25ab12e8ffa357a984,9539.985873,71072.12634
0x332a58f08fb70992d2c19eed7cfe4787f8bf671c,9357.036887,43613.66835
0xae4f4bd402b7d5e1090186aee217b0ce8bd53d48,9327.509458,26905.38239
0xa8a8a9d77568d922a1e47e6ed5fb67e8499a29ad,9139.82386,41663.0825
0x00000000000a6d473a66abe3dbaab9e1388223bd,9062.565509,68253.69137
0x160f5f00288e9e1cc8655b327e081566e580a71d,8756.814768,17718.59527
0x000000000082818ab92a4b79611a30ea146fd607,8713.486199,30836.32183
0x2cb25b2b1082d7062a4e114c3510ce274692c8ea,7881.200633,41623.06696
0x0000009929ab383f0000e5e800f255c6c600ad32,7049.649829,35253.8303
0xa8ecaf8745c56d5935c232d2c5b83b9cd3de1f6a,6861.052472,33507.79788
0x34a240fad6b74274bc4fbef9e48af6a614b90abc,6584.645682,10069.18566
0xd434cea7207d2e330dd1129d777191dee6b7c37d,6569.932711,68319.35787
0xe82dd2449989d73a5840300c6110eaae66b90092,6308.738752,22815.15299
0xbd352d2dba1aaa3d94b5ce507c7631bfa5ec39da,6149.88726,17548.01813
0x8298e3b77f85bc77fa112e0da35345acd5aebe26,6102.914577,22857.03612
0x0000000000897daa8ad26af7bf62b63e7c1e00f9,5928.032575,34343.91341
0x55cdf90418f4ba7a0b80543ede12f3e25f0702ec,5863.960725,61249.27502
0x5b36e6c8c29cbba6475f9819b9b9572e3f00b617,5857.018014,14464.45181
0x19fe1cbf96cf38bd0ae84556505cef05e57857e6,5810.443292,56873.49859
0xaf708ad676a9558206e108afc07bd798dda0dafd,5731.040406,7271.001992
0x8f21eb5749ebd9870eed133ae451ad0b6d4e6e8c,5607.90887,19430.43078
0xdc5de60ac04526c66b73d817f87c5f02db17e8b4,4914.278381,23568.48907
0x6c6b87d44d239b3750bf9badce26a9a0a3d2364e,4627.670831,7785.052091
0x87133fe0ccc12677bd5a3863ea77dac7d95ec4ca,4512.257791,25674.7649
0x0c208f3f32a64cd766ca574bf9e10f8e5529c97d,4506.709798,45405.67973
